,T,year,month
147,10.0150165068309,1962.0,4.0
148,10.042700883337613,1962.0,5.0
149,10.02403904619387,1962.0,6.0
150,9.99903788896368,1962.0,7.0
151,9.988201305617698,1962.0,8.0
152,10.010463714166995,1962.0,9.0
153,10.03180686531718,1962.0,10.0
154,10.01933188228671,1962.0,11.0
155,10.02794366000847,1962.0,12.0
156,10.022396423661812,1963.0,1.0
157,10.022519071904508,1963.0,2.0
158,10.043415610567967,1963.0,3.0
159,10.051502761974579,1963.0,4.0
160,10.040267632002642,1963.0,5.0
161,10.012285594944993,1963.0,6.0
162,9.988828664640344,1963.0,7.0
163,9.97044173657243,1963.0,8.0
164,9.979265185347131,1963.0,9.0
165,9.993896012860553,1963.0,10.0
166,9.991314227766194,1963.0,11.0
167,10.017016135552613,1963.0,12.0
168,10.015435108217183,1964.0,1.0
169,10.005448605927624,1964.0,2.0
170,10.020003831578567,1964.0,3.0
171,10.046706571833836,1964.0,4.0
172,10.01949258357457,1964.0,5.0
173,9.981880112269602,1964.0,6.0
174,9.95961328352635,1964.0,7.0
175,9.960633924474607,1964.0,8.0
176,9.963599625523539,1964.0,9.0
177,9.999377587342869,1964.0,10.0
178,9.979770968588092,1964.0,11.0
179,9.966655001808737,1964.0,12.0
180,9.97778674258157,1965.0,1.0
181,9.984905977757187,1965.0,2.0
182,9.997260096705459,1965.0,3.0
183,9.995372580360002,1965.0,4.0
184,9.990076997141186,1965.0,5.0
185,9.977855942531725,1965.0,6.0
186,9.977696012539749,1965.0,7.0
187,9.971420926942317,1965.0,8.0
188,9.980936700340845,1965.0,9.0
189,9.975340457922275,1965.0,10.0
190,9.984755775906672,1965.0,11.0
191,10.00823136485971,1965.0,12.0
192,10.003828336621593,1966.0,1.0
193,10.028045671369815,1966.0,2.0
194,10.024610921817205,1966.0,3.0
195,10.029184372365842,1966.0,4.0
196,10.021302187178568,1966.0,5.0
197,10.009179239434369,1966.0,6.0
198,9.986752210142539,1966.0,7.0
199,9.993149185291628,1966.0,8.0
200,10.007316914145312,1966.0,9.0
201,10.008979185187949,1966.0,10.0
202,9.994960942116228,1966.0,11.0
203,10.02347136746051,1966.0,12.0
204,10.045358004382175,1967.0,1.0
205,10.017132085838286,1967.0,2.0
206,10.017268559993829,1967.0,3.0
207,10.038645350838586,1967.0,4.0
208,10.036962741139343,1967.0,5.0
209,10.003737997670468,1967.0,6.0
210,9.973936401681616,1967.0,7.0
211,9.993635607382718,1967.0,8.0
212,9.995661924289195,1967.0,9.0
213,10.01947770678683,1967.0,10.0
214,10.025919182948067,1967.0,11.0
215,10.015185184635998,1967.0,12.0
216,9.998326421950537,1968.0,1.0
217,9.966890648053537,1968.0,2.0
218,10.012934285349534,1968.0,3.0
219,10.009384213326015,1968.0,4.0
220,10.003865434595498,1968.0,5.0
221,10.001541490119523,1968.0,6.0
222,9.98737380459755,1968.0,7.0
223,9.984686931623179,1968.0,8.0
224,9.975546545569731,1968.0,9.0
225,9.972063769974133,1968.0,10.0
226,9.948979701014142,1968.0,11.0
227,9.96156369728784,1968.0,12.0
228,9.965397393632916,1969.0,1.0
229,9.9898151666181,1969.0,2.0
230,10.014157903378754,1969.0,3.0
231,10.02975409599445,1969.0,4.0
232,10.02177075986853,1969.0,5.0
233,9.97763504637339,1969.0,6.0
234,9.952903033085136,1969.0,7.0
235,9.934562179942558,1969.0,8.0
236,9.957883083126285,1969.0,9.0
237,9.94505507061141,1969.0,10.0
238,9.95161310178643,1969.0,11.0
239,9.964575089443729,1969.0,12.0
240,9.947815687943491,1970.0,1.0
241,9.9663510069797,1970.0,2.0
242,9.98108391903717,1970.0,3.0
243,9.972072722296659,1970.0,4.0
244,9.963572571252401,1970.0,5.0
245,9.956620521351745,1970.0,6.0
246,9.943855778851248,1970.0,7.0
247,9.935102807312303,1970.0,8.0
248,9.948298955550326,1970.0,9.0
249,9.95317171274365,1970.0,10.0
250,9.971717191812074,1970.0,11.0
251,9.996957885317578,1970.0,12.0
252,9.99530187494451,1971.0,1.0
253,9.989115553687355,1971.0,2.0
254,10.001446740038281,1971.0,3.0
255,10.000503462480557,1971.0,4.0
256,9.99761477310361,1971.0,5.0
257,9.967369136273655,1971.0,6.0
258,9.963349855705426,1971.0,7.0
259,9.956208746746228,1971.0,8.0
260,9.995230152407117,1971.0,9.0
261,10.009880289628306,1971.0,10.0
262,10.011259544120506,1971.0,11.0
263,10.005619849569351,1971.0,12.0
264,9.986425131982978,1972.0,1.0
265,10.017705731194788,1972.0,2.0
266,10.030224664740125,1972.0,3.0
267,10.04009503739699,1972.0,4.0
268,10.03532864226393,1972.0,5.0
269,9.985048895517128,1972.0,6.0
270,9.949777835666682,1972.0,7.0
271,9.957735649580684,1972.0,8.0
272,9.924336346362573,1972.0,9.0
273,9.94717518168039,1972.0,10.0
274,9.964750799414604,1972.0,11.0
275,9.978267369271503,1972.0,12.0
276,9.955991536987652,1973.0,1.0
277,9.982320152949418,1973.0,2.0
278,9.988765901664742,1973.0,3.0
279,10.003082328693269,1973.0,4.0
280,10.000598632731547,1973.0,5.0
281,10.017119467456032,1973.0,6.0
282,9.958600556592637,1973.0,7.0
283,9.97442424940387,1973.0,8.0
284,9.971103091402606,1973.0,9.0
285,9.987166069587035,1973.0,10.0
286,9.997150410466336,1973.0,11.0
287,9.992576476594943,1973.0,12.0
288,10.018924489857062,1974.0,1.0
