,APE,year,month
322,-7000492.94703374,1976.0,11.0
323,-6892700.209801552,1976.0,12.0
324,-6714246.209671303,1977.0,1.0
325,-6896388.575743548,1977.0,2.0
326,-6938262.256517346,1977.0,3.0
327,-6927436.974480672,1977.0,4.0
328,-6854901.488610081,1977.0,5.0
329,-6741006.950993179,1977.0,6.0
330,-6842263.841929996,1977.0,7.0
331,-6863812.341828534,1977.0,8.0
332,-6910601.534173316,1977.0,9.0
333,-6979275.214456239,1977.0,10.0
334,-6975915.371314824,1977.0,11.0
335,-6941067.054998389,1977.0,12.0
336,-6980801.046237778,1978.0,1.0
337,-7113221.558825079,1978.0,2.0
338,-7064143.030386238,1978.0,3.0
339,-7050805.092889109,1978.0,4.0
340,-6991162.272122167,1978.0,5.0
341,-7057206.260870336,1978.0,6.0
342,-7101238.440037455,1978.0,7.0
343,-7110591.1865021605,1978.0,8.0
344,-7061741.68424634,1978.0,9.0
345,-7063941.331087688,1978.0,10.0
346,-6971994.908704413,1978.0,11.0
347,-6741255.168816651,1978.0,12.0
348,-6723966.939941371,1979.0,1.0
349,-6824656.855019047,1979.0,2.0
350,-6850874.497155927,1979.0,3.0
351,-6902097.892534843,1979.0,4.0
352,-6849345.109931932,1979.0,5.0
353,-6888337.633883454,1979.0,6.0
354,-6944384.918606703,1979.0,7.0
355,-6992179.215454519,1979.0,8.0
356,-7004884.425785402,1979.0,9.0
357,-7074350.581223145,1979.0,10.0
358,-7098900.967004379,1979.0,11.0
359,-6809243.014659432,1979.0,12.0
360,-6808109.381225823,1980.0,1.0
361,-6825055.104320002,1980.0,2.0
362,-6958149.147377566,1980.0,3.0
363,-6889362.137807151,1980.0,4.0
364,-6831423.6497672405,1980.0,5.0
365,-6903050.328567364,1980.0,6.0
366,-6910313.3088794155,1980.0,7.0
367,-6923380.290455934,1980.0,8.0
368,-6965096.854479178,1980.0,9.0
369,-6964035.796723627,1980.0,10.0
370,-6973093.602963418,1980.0,11.0
371,-6996704.896968107,1980.0,12.0
372,-7163949.457502313,1981.0,1.0
373,-7189467.544331469,1981.0,2.0
374,-7202677.2435002215,1981.0,3.0
375,-7201165.762037818,1981.0,4.0
376,-7108884.650939044,1981.0,5.0
377,-7067033.409647487,1981.0,6.0
378,-7076101.982003018,1981.0,7.0
379,-7134929.134507953,1981.0,8.0
380,-7101375.048979085,1981.0,9.0
381,-7015093.651576207,1981.0,10.0
382,-6999510.025579943,1981.0,11.0
383,-6844061.508419892,1981.0,12.0
384,-6944233.876572972,1982.0,1.0
385,-6931756.018231492,1982.0,2.0
386,-6853753.934704418,1982.0,3.0
387,-6853980.4541415265,1982.0,4.0
388,-6907655.865548096,1982.0,5.0
389,-6935482.311467704,1982.0,6.0
390,-7005209.824782107,1982.0,7.0
391,-6898827.463897622,1982.0,8.0
392,-6942215.421331568,1982.0,9.0
393,-6985330.722982155,1982.0,10.0
394,-6925444.398634015,1982.0,11.0
395,-6836018.07791307,1982.0,12.0
396,-6970786.18914699,1983.0,1.0
397,-6986072.65523523,1983.0,2.0
398,-7087059.488220355,1983.0,3.0
399,-7119726.174502629,1983.0,4.0
400,-7054424.855015592,1983.0,5.0
401,-7008901.627628273,1983.0,6.0
402,-7082304.826115946,1983.0,7.0
403,-7153464.020283347,1983.0,8.0
404,-7171279.940584699,1983.0,9.0
405,-7146176.507028989,1983.0,10.0
406,-7064368.90394114,1983.0,11.0
407,-6804047.494155803,1983.0,12.0
408,-6976254.019929134,1984.0,1.0
409,-6892473.694054305,1984.0,2.0
410,-6969636.051928249,1984.0,3.0
411,-6924131.680935161,1984.0,4.0
412,-6839846.598932805,1984.0,5.0
413,-6947784.5702922605,1984.0,6.0
414,-7058803.874197236,1984.0,7.0
415,-7047338.026731149,1984.0,8.0
416,-6996722.095585555,1984.0,9.0
417,-7095937.149195512,1984.0,10.0
418,-7085819.20161332,1984.0,11.0
419,-6908828.961888232,1984.0,12.0
420,-6972683.58427037,1985.0,1.0
421,-6996743.263224797,1985.0,2.0
422,-6895449.229871597,1985.0,3.0
423,-6910967.328191579,1985.0,4.0
424,-6865749.911462012,1985.0,5.0
425,-6874023.156809732,1985.0,6.0
426,-6917110.449962336,1985.0,7.0
427,-6962135.724234768,1985.0,8.0
428,-6972612.468739326,1985.0,9.0
429,-7035624.122907847,1985.0,10.0
430,-7027595.043341642,1985.0,11.0
431,-6937850.701615934,1985.0,12.0
432,-6991566.837982618,1986.0,1.0
433,-6959358.866380792,1986.0,2.0
434,-7080393.759405716,1986.0,3.0
435,-7120946.676848174,1986.0,4.0
436,-7067150.082952847,1986.0,5.0
437,-7073777.970838855,1986.0,6.0
438,-7054732.588675066,1986.0,7.0
439,-7118135.961924393,1986.0,8.0
440,-7113667.644667147,1986.0,9.0
441,-7136819.708208052,1986.0,10.0
442,-7140847.153921519,1986.0,11.0
443,-6981615.403083599,1986.0,12.0
444,-7020941.821298937,1987.0,1.0
445,-7181783.552511789,1987.0,2.0
