,APE,year,month
311,-1.7352710405685557e+24,1975.0,12.0
312,-1.7624992049397848e+24,1976.0,1.0
313,-1.7271171095898874e+24,1976.0,2.0
314,-1.757929125595344e+24,1976.0,3.0
315,-1.7437646898986355e+24,1976.0,4.0
316,-1.7353418968836933e+24,1976.0,5.0
317,-1.7323343302885475e+24,1976.0,6.0
318,-1.7531089034664783e+24,1976.0,7.0
319,-1.7520937738237817e+24,1976.0,8.0
320,-1.7577911054734902e+24,1976.0,9.0
321,-1.7852550333045523e+24,1976.0,10.0
322,-1.782587697174044e+24,1976.0,11.0
323,-1.755139629061036e+24,1976.0,12.0
324,-1.709698556903615e+24,1977.0,1.0
325,-1.7560788251720276e+24,1977.0,2.0
326,-1.7667414326123213e+24,1977.0,3.0
327,-1.763984910361243e+24,1977.0,4.0
328,-1.7455146589518416e+24,1977.0,5.0
329,-1.716512843927195e+24,1977.0,6.0
330,-1.7422966407831784e+24,1977.0,7.0
331,-1.747783695923769e+24,1977.0,8.0
332,-1.7596979767130754e+24,1977.0,9.0
333,-1.7771848677817783e+24,1977.0,10.0
334,-1.7763293258801383e+24,1977.0,11.0
335,-1.7674556393550735e+24,1977.0,12.0
336,-1.7775734017010762e+24,1978.0,1.0
337,-1.8112926238155165e+24,1978.0,2.0
338,-1.7987953923130474e+24,1978.0,3.0
339,-1.7953990538740329e+24,1978.0,4.0
340,-1.7802117578752624e+24,1978.0,5.0
341,-1.7970290309881037e+24,1978.0,6.0
342,-1.8082412729626248e+24,1978.0,7.0
343,-1.8106228325054905e+24,1978.0,8.0
344,-1.798183919647047e+24,1978.0,9.0
345,-1.7987440321172946e+24,1978.0,10.0
346,-1.7753310292645394e+24,1978.0,11.0
347,-1.7165760494816733e+24,1978.0,12.0
348,-1.712173818905602e+24,1979.0,1.0
349,-1.7378132424726264e+24,1979.0,2.0
350,-1.744489236102749e+24,1979.0,3.0
351,-1.7575326310609034e+24,1979.0,4.0
352,-1.744099796834638e+24,1979.0,5.0
353,-1.7540287538386155e+24,1979.0,6.0
354,-1.7683004916953058e+24,1979.0,7.0
355,-1.7804707097357513e+24,1979.0,8.0
356,-1.7837059321404015e+24,1979.0,9.0
357,-1.8013946170644784e+24,1979.0,10.0
358,-1.807646064781892e+24,1979.0,11.0
359,-1.733888301415026e+24,1979.0,12.0
360,-1.7335996358843063e+24,1980.0,1.0
361,-1.7379146516604738e+24,1980.0,2.0
362,-1.7718053798587068e+24,1980.0,3.0
363,-1.7542896309088315e+24,1980.0,4.0
364,-1.7395363218555637e+24,1980.0,5.0
365,-1.7577751569468324e+24,1980.0,6.0
366,-1.7596245837582064e+24,1980.0,7.0
367,-1.7629519266715895e+24,1980.0,8.0
368,-1.7735745263026224e+24,1980.0,9.0
369,-1.773304341257748e+24,1980.0,10.0
370,-1.7756107979728111e+24,1980.0,11.0
371,-1.7816231177516564e+24,1980.0,12.0
372,-1.8242098467553445e+24,1981.0,1.0
373,-1.830707707403336e+24,1981.0,2.0
374,-1.8340713915609732e+24,1981.0,3.0
375,-1.8336865117703966e+24,1981.0,4.0
376,-1.8101882846354165e+24,1981.0,5.0
377,-1.799531391127738e+24,1981.0,6.0
378,-1.8018405892990972e+24,1981.0,7.0
379,-1.8168201856087416e+24,1981.0,8.0
380,-1.8082760587156448e+24,1981.0,9.0
381,-1.786305583397828e+24,1981.0,10.0
382,-1.7823374085580732e+24,1981.0,11.0
383,-1.742754394000381e+24,1981.0,12.0
384,-1.7682620307364674e+24,1982.0,1.0
385,-1.7650847006634433e+24,1982.0,2.0
386,-1.7452224487475664e+24,1982.0,3.0
387,-1.7452801290801965e+24,1982.0,4.0
388,-1.7589478991555378e+24,1982.0,5.0
389,-1.7660335544840517e+24,1982.0,6.0
390,-1.7837887909122893e+24,1982.0,7.0
391,-1.7566998574409163e+24,1982.0,8.0
392,-1.7677480564338222e+24,1982.0,9.0
393,-1.7787268270523757e+24,1982.0,10.0
394,-1.7634775259217742e+24,1982.0,11.0
395,-1.7407062353388386e+24,1982.0,12.0
396,-1.7750232439944592e+24,1983.0,1.0
397,-1.7789157507919572e+24,1983.0,2.0
398,-1.8046307807788285e+24,1983.0,3.0
399,-1.812948942587548e+24,1983.0,4.0
400,-1.7963207808841428e+24,1983.0,5.0
401,-1.7847288621878065e+24,1983.0,6.0
402,-1.803420065728379e+24,1983.0,7.0
403,-1.8215398617232278e+24,1983.0,8.0
404,-1.8260764623002598e+24,1983.0,9.0
405,-1.819684187905898e+24,1983.0,10.0
406,-1.798852908179877e+24,1983.0,11.0
407,-1.7325653273044515e+24,1983.0,12.0
408,-1.7764155585009127e+24,1984.0,1.0
409,-1.7550819496679826e+24,1984.0,2.0
410,-1.7747303759819206e+24,1984.0,3.0
411,-1.7631432588297932e+24,1984.0,4.0
412,-1.7416811201819185e+24,1984.0,5.0
413,-1.769166170343253e+24,1984.0,6.0
414,-1.7974358431773198e+24,1984.0,7.0
415,-1.7945162089765053e+24,1984.0,8.0
416,-1.7816274971638069e+24,1984.0,9.0
417,-1.806891365762448e+24,1984.0,10.0
